Customer Id,Emp Title,Emp Length,Home Ownership,Annual Inc,Annual Inc Joint,Verification Status,Zip Code,Addr State,Avg Cur Bal,Tot Cur Bal,Loan Id,Loan Status,Loan Amount,State,Funded Amount,Term,Int Rate,Grade,Issue Date,Pymnt Plan,Type,Purpose,Description
YidceDFlXHhlMVx4Y2NceGIwXHhhZFx4YjBceGUzXHhmY2hceGU3XHgxNl9yXHhiNFx4Y2JWJVx4ZjRceDkxTVx4OGNceDk0XHhmN1x4ZGF0XHhiMkRceGU1XHgxM1x4ZDNceGZiXHhhZSc=,Sec/Bookkeeper,9 years,MORTGAGE,131000.0,,Not Verified,706xx,LA,14913.0,134219.0,193518,Fully Paid,20000.0,LA,20000.0, 36 months,0.1273,7,18 August 2018,False,Individual,debt_consolidation,Debt consolidation
YidceDBmXHhkMHRceGM5JVx4OTB1Olx4YTJeIFx4YmFceGFhbFx4ZjRHXHhhMlx4MTlaXHhjOS5ceGEwXHhlNVx4ZmFceGQ2R1x4OWZceDk3XHg5NWohXHgxZic=,Surgical technologist ,10+ years,MORTGAGE,39000.0,,Verified,456xx,OH,18942.0,170475.0,106947,Current,10600.0,OH,10600.0, 36 months,0.1899,16,16 May 2016,False,INDIVIDUAL,debt_consolidation,Debt consolidation
YidwXHg5MXFceDEzXHJceGYxXHg4OVx4ZjVceGJkXHgxZVx4MTZceGUwXHhmOVx4ZTlceDgwOlx4YzhceGFkXHhkOFx4ZTRceGVkXHhlYlx4YmNceGI0Jlx4YTVceGE3XHhlN1x4YzZccmxceGEwJw==,,2 years,MORTGAGE,80000.0,,Not Verified,752xx,TX,8321.0,124817.0,67995,Current,8000.0,TX,8000.0, 36 months,0.1447,15,18 August 2018,False,Individual,credit_card,Credit card refinancing
YidceGVmQ1x4ODRccnBceDFiXHhjMVx4ODc+YVx4ZTVceGViXHhlNlx4YWFwYlhceDAzXHg5Ylx4OTEmelx4ZDdceDk1XHhjYVx4ZjFceGM5XHhjOVx4ZGIpXHhjYWAn,Tornos,10+ years,MORTGAGE,70000.0,,Source Verified,770xx,TX,14685.0,176222.0,218048,Current,24000.0,TX,24000.0, 60 months,0.118,9,18 December 2018,False,Individual,credit_card,Credit card refinancing
YidceGFieVx4ZDZZXjBceGFmV1x4YzdSXHg5NVx4MDdceGIyIyJPMVx4MTdceGQ0XHhhZXNjb3kjX1x4YTJceGUyXVx4YjhceDhhXHhmZCc=,night auditor ,6 years,RENT,36000.0,,Not Verified,906xx,CA,3360.0,43686.0,12852,Charged Off,3200.0,CA,3200.0, 36 months,,6,15 May 2015,False,Individual,debt_consolidation,Debt consolidation
YidceDg3XHhlZVx4OWJYXHhhZVx4YTFceDhlXHgxMFxcVl0zfVx4YWNceDFlXHhmMFx4YzlceGM0XHhmZCQrXHgxM1x4YjhceDA1UVx4ZjVuclx0XHgwOFx4YTVceGU3Jw==,Clerk,10+ years,RENT,30000.0,,Source Verified,322xx,FL,4267.0,25604.0,129148,Current,12175.0,FL,12175.0, 60 months,0.2149,17,16 July 2016,False,INDIVIDUAL,debt_consolidation,Debt consolidation
YidjXHhmMTNceDg3RGduU1x4ODdEXHg5OFxuXHhkNyFTJFx4ZmRPXHhjZlx4YTdceGRhXHhkODltXHhlNFx4OGVceDFiXHhkMlx4MDhceDExXHg5YXQn,City of Charlestown,10+ years,MORTGAGE,51956.0,,Source Verified,471xx,IN,12235.0,134581.0,128476,Fully Paid,12000.0,IN,12000.0, 60 months,0.227,21,13 August 2013,False,INDIVIDUAL,debt_consolidation,CC MONEY
YidceDAzMV9ceGNiXHhjMlx4ODlceGU1XHg4Y11ceGQ0VDdceDA4b1x4YjFceDEwelx4Y2Mwdi5ceGViU2A7XHhjYlx4MTNfLFx4ZWRceGI5XHg4NSc=,Computer Systems,10+ years,MORTGAGE,135000.0,,Verified,310xx,GA,12047.0,216861.0,261627,Fully Paid,35000.0,GA,35000.0, 60 months,0.2199,28,15 November 2015,False,Individual,debt_consolidation,Debt consolidation
YidceDhjVVx4YTguXHgwM1x4ZjlceGJmXHgxMFlOP1x4Y2NceDFkXHg4ZF9ceDFhMHtceGU0XHgwYkNceGI4KExceDAySjloKVx4OWEpXHhkNCc=,Truck Driver ,10+ years,MORTGAGE,68000.0,93815.0,Source Verified,086xx,NJ,33003.0,231024.0,152933,Current,15000.0,NJ,15000.0, 36 months,0.1502,11,18 October 2018,False,Joint App,debt_consolidation,Debt consolidation
YidDNnhceDg3XHg5ZFx4ZWNceGE5XHhjNzpYXHg5OVx4MTVceGE3XHhlZFx4Y2ZbXHhiZFx4YjFceGIwMGtceDAzc1x4OTRceGZidFx4YjBvXHhjY1x4MTE0XHhmNSc=,Senior Designer,6 years,RENT,64000.0,,Verified,926xx,CA,1935.0,23224.0,29824,Fully Paid,5000.0,CA,5000.0, 36 months,0.1153,8,15 September 2015,False,Individual,credit_card,Credit card refinancing
YidceGVhTlx4YWNceGJkXHhiZFx4ZDk8bFx4ZDlceGFjXHhlOFhceDBjXHg4Zlx4ODFceGJkXHg4YlhceGNmY2NceGE5XHg4ZWdceGFlXHhmZlx0bVx4Y2FceGM2JnQn,Intake Specialist,7 years,RENT,31000.0,,Not Verified,112xx,NY,1148.0,17221.0,132259,Charged Off,12950.0,NY,12950.0, 36 months,0.1699,20,14 September 2014,False,INDIVIDUAL,debt_consolidation,Debt consolidation
YidJdVx4ZmFceGFmLEFgQ1x4ZTBceGYxXHhhY2NaXHgxZVx4MWNHXHhlNGxceDgye1x4YTVTTzxceDg5XHhkOFx4YjRceGRjXHg4NkpceGEwXHhiNCc=,Shipping,< 1 year,MORTGAGE,30000.0,,Verified,421xx,KY,40009.0,120027.0,18280,Current,4000.0,KY,4000.0, 36 months,0.1144,7,17 April 2017,False,Individual,car,Car financing
YiJceDE0K1x4ZWNceDhhXHhkYkgnTCBceGE1XHhhMVx4ZDdgXHgxN1x4OGVGXHhhYVx4ZDVceGFkXHgxM1x4OTNceGJiXHgwMlx4ZDVTKlx4OTVkXHgxZlx4YzQ9XG4i,Billing,1 year,RENT,55000.0,,Source Verified,770xx,TX,1940.0,27157.0,26957,Charged Off,5000.0,TX,5000.0, 36 months,,10,15 May 2015,False,Individual,debt_consolidation,Debt consolidation
YidceDg3XHgwYlx4Y2VceGQ3c0NceGEzXHg4ZiNXXHhmMTdxXHhmNlx4MTFceDA3XHhlNlx4YzZceGFjXHhlMmRceGUyXHhkM1x4ZjNIXHgwNCQkXHg4ZVx4YWRceGI2Oyc=,Commercial Credit Risk Underwriter,2 years,RENT,101000.0,,Source Verified,273xx,NC,7114.0,56914.0,66537,Fully Paid,8000.0,NC,8000.0, 36 months,0.1239,12,14 November 2014,False,INDIVIDUAL,credit_card,Credit card refinancing
YiJceGY0Jlx4ZDZceDliXHhhZDR9XHhlMFx4ZGFceGM0XHgxMTRiXHg4Nlx4OTJceDE3JG1ceDdmXHhmYidceGM4XHhmNlx4ZDZceGY3XHgxYlx4OThceGFhclx4MDRbdyI=,President,2 years,MORTGAGE,220000.0,,Source Verified,995xx,AK,38225.0,344026.0,190484,Current,20000.0,AK,20000.0, 36 months,0.0846,3,18 October 2018,False,Individual,debt_consolidation,Debt consolidation
YidceDhhXHgwN1x4OWRceGYzMFx4ZWI1XHhjN1x4OTd6XHhjMFx4ODhGXHgwYlx4MTNVXHhjOFx4OTcsYVx4YzNceGM1K1x4YjRceDhjXHgxOC4vW1x4ZGZceGIzXHhiZSc=,Project Superintendant,< 1 year,RENT,50000.0,,Source Verified,853xx,AZ,1063.0,5317.0,150896,Current,15000.0,AZ,15000.0, 36 months,0.1155,8,18 September 2018,False,Individual,credit_card,Credit card refinancing
YiJceGIzYX5ceDgxXHg4Y1x4MWJKXHhjMVx4YmNceGUxXHgwMT1yXHhjYy1ceGRhXHgxOH4/Qlx4ODVcdDNceDhiXHgwNydBIFx4OTdceGZiXHg4MWMi,owner-operator,10+ years,MORTGAGE,100000.0,,Source Verified,371xx,TN,28945.0,289448.0,161877,Charged Off,16000.0,TN,16000.0, 36 months,0.0818,7,15 April 2015,False,Individual,debt_consolidation,Debt consolidation
YidPXHhlNXJceDAzXHgwZTJceDFiXHhjODFceGU3TEVceGY1XHg4ZFx4YjFvWitceGU3XHhhNlBceDA0WHhceDg2XHg5ZVx4ZTJCU1x4ZGRcdFx4YTMn,CMO,2 years,OWN,600000.0,,Verified,023xx,MA,104870.0,1153572.0,146869,Fully Paid,15000.0,MA,15000.0, 36 months,0.0721,3,17 November 2017,False,Individual,credit_card,Credit card refinancing
YiJ5XHhkNVx4OWJcdCo0XHgwZVx4YWFCLFx4OTB5XHgxYilceDk4S1FceGMwXHhmMFx4YTVceGVhXHg5MnlFQVx4MTJceDA0RVx4YWZceDhmXHhjMSci,,,MORTGAGE,73000.0,,Verified,960xx,CA,51881.0,466933.0,111984,Current,11200.0,CA,11200.0, 36 months,0.0819,5,14 November 2014,False,INDIVIDUAL,debt_consolidation,Debt consolidation
YidoXHhkNlx4MTRceDkzXHgxMVx4ODhrXHhjNFx4ZDVceDE4XHgwN1x4YWJMcS1UXHhmZVx4ZTNDXHhmY1x4Y2QreFx4MTQhbFx4MTFqXHhjMlx4ZGRceDk2LCc=,Waggener Edstrom,2 years,RENT,52000.0,,Verified,972xx,OR,3750.0,18749.0,213264,Fully Paid,23325.0,OR,23325.0, 60 months,0.158,15,13 April 2013,False,INDIVIDUAL,debt_consolidation,Debt Consolidation
YidceGFlXHg5ZFx4MDg0XHg4ZVx4YTQsXHhhYzhZXHgxZXtceGM2XHhiNlx4ZDBceGMwXHgwMFx4YzBceDAzQSRceGZlXHhjZlx4MTNceGJhXHhkYVlCXHgxZFx4YTVcdFx4ODYn,,,OWN,31000.0,,Verified,641xx,MO,3795.0,18975.0,74058,Fully Paid,8925.0,MO,8925.0, 36 months,0.1433,14,15 November 2015,False,Individual,debt_consolidation,Debt consolidation
YidoXHhmM1x4ODdceGJiXHg5OGJceDgzRVx4YmVceGIxXHhmNFx4OTFceGU4XHg5Nlx4Y2NceDhhXHhiNlx4YTdsXHhmMVx4YTlaMFx4YjhceDEyXHhlZFx4YTMgXHgwMFx4YmVceGZjXHhjMSc=,Customer Service Supervisor,10+ years,MORTGAGE,65000.0,,Verified,727xx,AR,10659.0,149227.0,219003,Current,24000.0,AR,24000.0, 60 months,0.1446,12,16 May 2016,False,INDIVIDUAL,debt_consolidation,Debt consolidation
YidceDE2eVx0dVx4ZWVCJVx4ZmJceGMzXHgxNFx4MTBceGExPlx4ZmRceDE1XHg5NVx4Y2RgXHgxYXNceGVmWiJceGQ0XHg4MFx4MWN4XHhjZVx4ZjNceDkwXHhiOD8n,Mortgage Banker & Real Estate Broker,10+ years,RENT,250000.0,,Source Verified,069xx,CT,55895.0,335370.0,97212,Current,10000.0,CT,10000.0, 36 months,0.1614,15,18 December 2018,False,Individual,home_improvement,Home improvement
YidceGVjXHhhYk1ceGI1RShrXHg4Zlx4OWVceGUzXHg5MC1ceGRheDtAXHhiYVx4ZGZceDkzXHg5Mlx4ZDJceGY1XHgwN1x4YzRceGFlJVx4YzRceDFjXHhhNGBUbSc=,delivery driver,< 1 year,MORTGAGE,22000.0,70000.0,Source Verified,553xx,MN,17726.0,177256.0,15439,Current,3600.0,MN,3600.0, 36 months,0.1171,10,19 May 2019,False,Joint App,home_improvement,Home improvement
YidceGY3XHhlOVx4MTZcXFx4ODlFXVx4MTlceDgzXHg5MVx4ODRceDExXHhhZVx4OTZceGI4MXNceGVkXHhkNVx4Y2VceGQxXHhlN1x4OGZHXHg4Zlx4YzNceGY1XHg5MFx4ZmQvXHhlZVsn,Supervisor,6 years,MORTGAGE,50000.0,,Source Verified,563xx,MN,1979.0,31666.0,203871,Charged Off,20950.0,MN,20950.0, 60 months,0.1947,17,14 April 2014,False,INDIVIDUAL,debt_consolidation,Debt consolidation
Yic4fVx4Y2JGXHhiZVx4MGVmIFx4Y2FceDliXHgxMVx4YjJceDAyXHhmNyRGXHgwOFx4ODNceGE3K1x4ZTI7XHg5YiN1dFx4YjVceGYwXHg5OVx4ZDQsXHhlMCc=,Instructor of Mathematics,1 year,MORTGAGE,42000.0,102000.0,Source Verified,387xx,MS,10850.0,184445.0,146756,Current,15000.0,MS,15000.0, 36 months,0.0707,2,17 October 2017,False,Joint App,home_improvement,Home improvement
YidceDljXHhiZGNceGQwXHhlMVdceGVlXHgwYlx4MGJceGJmXHhjM1x4YmFceDlkXHhiYlx4MTBceGZiXHhmOFpKZVx4ODVceGJjXHhkOVx4OTR5XHhmNk8zPVx4ODdpXHgwYic=,Government Contractor,2 years,RENT,105000.0,,Source Verified,222xx,VA,5255.0,73563.0,261941,Current,35000.0,VA,35000.0, 60 months,0.2499,27,16 March 2016,False,INDIVIDUAL,credit_card,Credit card refinancing
YidbQnFceGI3Q1x4OWZceDk4XHRLO1x4ZTBceGQ5ZVx4YmFceGRhXHhkMVx4YTQyXHhjYlx4YWZceGVmXHhhOWRAXHhkOCNceGRifFx4ZmRceGEweTwn,CEO,9 years,RENT,75000.0,,Source Verified,926xx,CA,11931.0,71587.0,156045,Current,15000.0,CA,15000.0, 60 months,0.1299,11,14 June 2014,False,INDIVIDUAL,debt_consolidation,Debt consolidation
YidceGZkXHhhOFx4OWRccm5ceGI4XHhkZVx4MTNceGRkXHhiOFx4YWFceDk2NjNceDk2NmpceDgxXHhiM1x4MThceGY3ZClceGI0YEBceDhkZlx4ZjJqIlx4OGMn,Associate Professor of Finance,10+ years,MORTGAGE,122500.0,,Not Verified,604xx,IL,36022.0,288174.0,85586,Fully Paid,10000.0,IL,10000.0, 36 months,0.0756,1,18 December 2018,False,Individual,small_business,Business
YidceDhjaVx4ZDI/KFx4MWJceDFmSVx4OTVEXHg5OFx4OWJceGEyXHhmYyI3Q1x4MGVceGViXHg5Ylx4OThceGUxXHg5NFx4ZWF1XHg5MDViXyJ2XHg4NCc=,,,MORTGAGE,60000.0,120000.0,Source Verified,443xx,OH,1912.0,15298.0,111534,Current,11050.0,OH,11050.0, 36 months,0.2565,17,19 October 2019,False,Joint App,debt_consolidation,Debt consolidation
YidceGUyXHg5MVx4ZTJceDk5WHFceDgxc1x4YjVceGM0XHhiYzZceDFiXHhiZVx4ODVceGVke0JceDFhXHhkMVx4ZTlceGIwXHgxN1x4OTh0XHg5Nlx4OTFcXFx4ZGJceGMyXHhhNFx4YTMn,Manager,1 year,RENT,50000.0,,Not Verified,841xx,UT,3347.0,13387.0,144826,Charged Off,15000.0,UT,15000.0, 36 months,0.1299,11,15 January 2015,False,Individual,debt_consolidation,Debt consolidation
Yic6bFx4Y2RceDg0XHg4YjdYKlx4YjFceGZjS1x4YzlceGRiXHhkNlx4YWZoXHg5MFNhXHhkZVx4MTJceGE3XHhkMERceGJhSVx4ZGV9XHgxZWQ7XHhlNyc=,Semi Driver,7 years,MORTGAGE,150000.0,,Not Verified,461xx,IN,12731.0,216427.0,211358,Current,22500.0,IN,22500.0, 36 months,0.0646,1,19 April 2019,False,Individual,credit_card,Credit card refinancing
YidceGQ5XHhjY05ceGQ5XHhlNFx4MDVceGRjP2xMXHg4NVx4OGNceDlhXHg4NjhDXHg5NEYzXHgxZlx4ZDdceDkzZFx4OTUzTk1ceGYyYlx4OGRiXHgxNyc=,Aviation safety inspector,7 years,MORTGAGE,115400.0,,Verified,891xx,NV,25595.0,358336.0,261858,Charged Off,35000.0,NV,35000.0, 60 months,0.2399,28,15 June 2015,False,Individual,home_improvement,Home improvement
YidxXHhkZSxceDExWFx4ZWY5T1x4ODNceDkxXHg5Mlx4ZjlCIlx4ZDlceGU3XHhiMFx4YzFceGJhXHg4ZFNceGM1RFx4ZTRceGVmeVx4YmFceGY5XHg5Ylx4YmJceGUxXHhhNic=,Coordinating Manager,10+ years,RENT,59000.0,,Source Verified,117xx,NY,3030.0,99998.0,175384,Charged Off,17600.0,NY,17600.0, 60 months,0.2869,28,17 April 2017,False,Individual,other,Other
YidceDkwXHhjZiRceGVle1x4YzNceGNkXHhmOVx4OTUtQlx4ZDVceDFjXHgwM1x4ZGZceGQxIVx4OTFceGIzbVx4YTA3XHg4Y1x4ZDZceGQ0XHg5Ylx4ZGNceDAyXHhhZVx4YTZceGJiXHhlNCc=,die maker ,5 years,RENT,38000.0,,Not Verified,010xx,MA,4228.0,25370.0,50751,Current,6600.0,MA,6600.0, 36 months,0.1612,14,19 October 2019,False,Individual,credit_card,Credit card refinancing
YidFNyRceGQ1XHhiYV9ceGZjXHg5M1x4OTFceGViclx4OGFceDhhXHgxOFx4ODBWXHhhYlx4MWNLXHg5MFx4ODhceDE5Z1x4YWFceDE1N1x4ZWMvXHhiMi5ceDE5NCc=,Truck Driver,2 years,MORTGAGE,250000.0,,Not Verified,750xx,TX,4972.0,74582.0,189575,Current,20000.0,TX,20000.0, 36 months,0.0756,3,19 February 2019,False,Individual,debt_consolidation,Debt consolidation
YidVcCJceGRiXHhkMTtceGU3XHg5MVx4OWNceGM0XHgxZlx4ZWJceGRjXHhjMExceDE4QFx4ODQpXHhhYz1ceGU5JVx4YjFTXHhlMFx4N2ZceGM0XHhmM1x4OGF4XHg4MCc=,,,OWN,35000.0,,Not Verified,337xx,FL,6609.0,59483.0,63878,Current,8000.0,FL,8000.0, 36 months,0.0881,5,19 October 2019,False,Individual,debt_consolidation,Debt consolidation
YiczXHg4Y1x4YWFceGFmPVx4OWVYXHhjOVx4MTZceDhhXHg5M1x4ZDdceDE4c2k0OFx4YWZceDEyXHhlZFx4YzE6XHhkYz1ceGI0Rk9YXHhiYSZ+Pyc=,Marketing Rep,10+ years,MORTGAGE,64450.0,,Verified,123xx,NY,11731.0,222880.0,11336,Fully Paid,3000.0,NY,3000.0, 36 months,0.1465,12,15 June 2015,False,Individual,debt_consolidation,Debt consolidation
YidceGIyXHhmMlJceGNhODxhXHhhZFx4ZjJceGFmXHhiM3RceGZjXHhhZFx4MWFceGE4QGZceGJleHJOXHhlNVx4ZjBceGU4XHhmOSZceDlhXHhjMFx4MDRceGJlbSc=,Senior Manager,2 years,MORTGAGE,265000.0,,Source Verified,553xx,MN,76828.0,1152415.0,147725,Current,15000.0,MN,15000.0, 36 months,0.0796,4,18 April 2018,False,Individual,debt_consolidation,Debt consolidation
YidceDFkXHg4NGJXXHhhNXdceGI0XHg5ODxnXHhhOVx4MTZceGRhXHg5NVx4ODVtXHgxNFRceGRiUV1ceGEwXHhhNVVceDBlXHhjNVx4ZTkyXHhkZVx4YzZrXHhiYyc=,Supervisor,10+ years,MORTGAGE,56000.0,,Verified,890xx,NV,2137.0,23503.0,134905,Current,13000.0,NV,13000.0, 60 months,0.2727,21,18 August 2018,False,Individual,debt_consolidation,Debt consolidation
YidceGI5XVx4ZGYmQVx4YzBceDAzXHg4Mj5lKVx4OTdceDE5XHhlMjVmXHg5ZURDXHgwMSlceDlhIlx4ZWRceDBmXHgxNntceGRhXHhhNFx4OTNceGNlXHhjMCc=,Registered Nurse,10+ years,RENT,70000.0,,Source Verified,973xx,OR,1987.0,55646.0,239041,Current,29325.0,OR,29325.0, 60 months,0.245,28,14 July 2014,False,INDIVIDUAL,debt_consolidation,Debt consolidation
YidceGIxXHhmMFx4YmIuXHg5Zlx4YzhceDBmXHhhM01ceGU0XHJceGM1XHg4Mlx4MGM6XHhmOFx4ZGVceDEzXHhiNVFzXHhhNUxceDE4XHgxMkJhXHhhOFx4OTJceGMwXHhlZlx4MTQn,Correction Officer,2 years,MORTGAGE,98000.0,,Not Verified,112xx,NY,25299.0,278292.0,245211,Current,30000.0,NY,30000.0, 60 months,0.143,15,19 September 2019,False,Individual,credit_card,Credit card refinancing
Yic8XHhlMElceDBlXHhlY1x4MTNCXHhiMFx4YjRceGRjXHhiYmwoXHhlZFx4ZmJ0XHgwNWo3XHg4ZFx4MTZceDFkXHgxYWBgXHhmMVRceDEzc1x4ZTRceGE0XHg5Yyc=,Advanced imaging,4 years,RENT,34000.0,,Not Verified,871xx,NM,14795.0,147946.0,44405,Fully Paid,6000.0,NM,6000.0, 36 months,0.1311,6,12 December 2012,False,INDIVIDUAL,debt_consolidation,Debt consolidation
YidceGIwU2Zod1x4ZTJ8XHg5OD5GKFx4YTFceGNlXHgxN1x4OTgvXHhkY1JceGJmPFx4YmQgXHgxYVx4YzhceGU4XHg5YyJceGMxXHg5YSlceDAwXHhmZic=,,,RENT,24000.0,,Verified,851xx,AZ,1126.0,6755.0,36406,Fully Paid,5500.0,AZ,5500.0, 36 months,0.0789,3,15 June 2015,False,Individual,credit_card,Credit card refinancing
YidceDA3XHg5Zlx4MWZceGY1Llx4YWVoXHg4NFx4MDJceGI2XHhjM1x4OThceGQ5XHg4NFx4ODdceGNkXHhmNkhceDljXHg5ZVx4ZGZvXHhkZT9gJEBceGI4XHhlY1x4Y2NsXHhhMyc=,Director of Maintenance,9 years,MORTGAGE,95000.0,120000.0,Source Verified,287xx,NC,45881.0,275287.0,65475,Current,8000.0,NC,8000.0, 36 months,0.1102,7,19 March 2019,False,Joint App,major_purchase,Major purchase
YiJceDgzXHhhMzBceDllcXxceDk1b2VrXHg4Ylx4ZDheVzMnXHhjYlxcXHhmZFx4YTNceGMwOVZceGQ0XHg4NFx4ZjdFJlx4YzlceGY2XHg4OVx4Yzci,,< 1 year,RENT,115000.0,,Not Verified,752xx,TX,1891.0,17017.0,208014,Current,21500.0,TX,21500.0, 36 months,0.2089,19,18 September 2018,False,Individual,debt_consolidation,Debt consolidation
